slug,marca,nombre,genero,concentracion,volumen_ml,tiene_piramide,salida,corazon,fondo,notas,acordes,fragrantica_url,ficha
afnan-9am,Afnan,9AM,hombre,edp,100,1,limón (lima ácida) | mandarina | cardamomo | pimienta rosa,lavanda | flor de azahar del naranjo | manzana verde | rosa,almizcle | musgo | cedro | pachulí,limón (lima ácida) | mandarina | cardamomo | pimienta rosa | lavanda | flor de azahar del naranjo | manzana verde | rosa | almizcle | musgo | cedro | pachulí,cítrico | almizclado | aromático | amaderado | cálido especiado | lavanda | musgoso | terrosos | afrutados | atalcado,https://www.fragrantica.es/perfume/Afnan/9am-70706.html,https://privateriche.com/perfume-arabe/afnan-9am
afnan-9am-dive,Afnan,9AM Dive,hombre,edp,100,1,limón (lima ácida) | menta | grosellas negras | pimienta rosa,manzana | cedro | incienso,jengibre | sándalo | pachulí | jazmín,limón (lima ácida) | menta | grosellas negras | pimienta rosa | manzana | cedro | incienso | jengibre | sándalo | pachulí | jazmín,afrutados | verde | amaderado | cítrico | fresco especiado | aromático | fresco | especiado suave | cálido especiado | balsámico,https://www.fragrantica.es/perfume/Afnan/9am-Dive-78611.html,https://privateriche.com/perfume-arabe/afnan-9am-dive
afnan-9am-pour-femme,Afnan,9AM Pour Femme,mujer,edp,100,1,mandarina | toronja (pomelo) | bergamota,frambuesa | grosellas negras,almizcle | ámbar | naranja,mandarina | toronja (pomelo) | bergamota | frambuesa | grosellas negras | almizcle | ámbar | naranja,cítrico | afrutados | dulce | almizclado | ámbar | atalcado | fresco especiado | animálico,https://www.fragrantica.es/perfume/Afnan/9am-pour-Femme-78541.html,https://privateriche.com/perfume-arabe/afnan-9am-pour-femme
afnan-9pm,Afnan,9PM,hombre,edp,100,1,manzana | canela | lavanda silvestre | bergamota,flor de azahar del naranjo | lirio de los valles (muguete),vainilla | haba tonka | ámbar | pachulí,manzana | canela | lavanda silvestre | bergamota | flor de azahar del naranjo | lirio de los valles (muguete) | vainilla | haba tonka | ámbar | pachulí,avainillado | ámbar | cálido especiado | afrutados | canela | dulce | lavanda | fresco | aromático | cítrico,https://www.fragrantica.es/perfume/Afnan/9pm-65414.html,https://privateriche.com/perfume-arabe/afnan-9pm
afnan-9pm-elixir,Afnan,9PM Elixir,hombre,edp,100,1,cardamomo | nuez moscada | elemí,pimienta de Jamaica | cuero | lavanda,vainilla | pachulí | ládano | heliántemo,cardamomo | nuez moscada | elemí | pimienta de Jamaica | cuero | lavanda | vainilla | pachulí | ládano | heliántemo,cálido especiado | avainillado | aromático | fresco especiado | cuero | lavanda | balsámico | pachulí | atalcado | amaderado,https://www.fragrantica.es/perfume/Afnan/9PM-Elixir-111894.html,https://privateriche.com/perfume-arabe/afnan-9pm-elixir
afnan-9pm-night-out,Afnan,9PM Night Out,unisex,extrait,100,1,pitahaya | lavanda | coñac | manzana | bergamota,tófe | gamuza | cardamomo | cedro | Mahonial,haba tonka | Akigalawood | Ambrofix™ | pachulí,pitahaya | lavanda | coñac | manzana | bergamota | tófe | gamuza | cardamomo | cedro | Mahonial | haba tonka | Akigalawood | Ambrofix™ | pachulí,amaderado | afrutados | cálido especiado | dulce | tropical | aromático | lavanda | florales | avainillado | fresco especiado,https://www.fragrantica.es/perfume/Afnan/9-PM-Night-Out-123313.html,https://privateriche.com/perfume-arabe/afnan-9pm-night-out
afnan-9pm-pour-femme,Afnan,9PM Pour Femme,mujer,edp,100,1,frambuesa | violeta | manzana | naranja,rosa | peonía | iris | jazmín,ciprés | pino | ámbar | cedro,frambuesa | violeta | manzana | naranja | rosa | peonía | iris | jazmín | ciprés | pino | ámbar | cedro,amaderado | afrutados | rosas | florales | aromático | atalcado | violeta | fresco | dulce | ámbar,https://www.fragrantica.es/perfume/Afnan/9pm-pour-Femme-78544.html,https://privateriche.com/perfume-arabe/afnan-9pm-pour-femme
afnan-9pm-rebel,Afnan,9PM Rebel,hombre,edp,100,1,piña | manzana Granny Smith | mandarina,musgo de roble | cedro | vainilla,Madera seca | ámbar gris | caramelo | almizcle,piña | manzana Granny Smith | mandarina | musgo de roble | cedro | vainilla | Madera seca | ámbar gris | caramelo | almizcle,afrutados | dulce | amaderado | tropical | fresco | musgoso | ámbar | caramelo | avainillado | atalcado,https://www.fragrantica.es/perfume/Afnan/9-PM-Rebel-99238.html,https://privateriche.com/perfume-arabe/afnan-9pm-rebel
afnan-rare-carbon,Afnan,Rare Carbon,hombre,edp,100,1,cuero | hojas de violeta | nuez moscada | canela,violeta | madera de oud | rosa | cedro,vetiver | sándalo | ámbar,cuero | hojas de violeta | nuez moscada | canela | violeta | madera de oud | rosa | cedro | vetiver | sándalo | ámbar,cuero | amaderado | atalcado | ozónico | violeta | animálico | oud | acuático | rosas | fresco especiado,https://www.fragrantica.es/perfume/Afnan/Rare-Carbon-66627.html,https://privateriche.com/perfume-arabe/afnan-rare-carbon
afnan-rare-tiffany,Afnan,Rare Tiffany,mujer,edp,100,1,ylang-ylang | jazmín | rosa,almizcle | sándalo | vainilla,jengibre | pimienta rosa | caramelo,ylang-ylang | jazmín | rosa | almizcle | sándalo | vainilla | jengibre | pimienta rosa | caramelo,amaderado | Floral amarillo | almizclado | dulce | atalcado | floral blanco | rosas | fresco especiado | florales | avainillado,https://www.fragrantica.es/perfume/Afnan/Rare-Tiffany-70698.html,https://privateriche.com/perfume-arabe/afnan-rare-tiffany
